simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
2753	5.2167486	-0.27088557	0.81804988	829.26094	13.895648	2.0748193	-0.094077187	0.24759802	3.421675205230713	0.41629844903945923	1016932571	548596859	1016932571.566199
2800	0.1936469	-0.68329817	0.96028135	2505.0981	19.338866	3.416173	0.72102614	0.092726138	3.24049711227417	1.3721522092819214	1030562044	498701334	1030562044.514757
2801	4.5611563	1.1902265	1.18744	1332.4912	15.518171	3.0094829	-0.2817221	0.17857383	6.0169878005981445	-0.8369835019111633	1016353468	371470451	1016353468.361992
2859	5.5602861	0.88925829	1.9745313	751.11617	15.712397	1.4504418	0.63382568	-0.04547809	0.696301281452179	1.9546284675598145	1019839992	288594246	1019839992.271907
2875	5.6877027	1.1260015	0.71769671	2274.5685	42.362078	3.5984991	-0.77473717	-0.20854116	6.0203046798706055	-2.831153392791748	1013538021	441228271	1013538021.424202
2901	2.6411743	-0.013386321	2.3357181	1081.3155	12.313051	3.1777707	0.37984882	-0.42265744	4.419689178466797	-1.7944316864013672	1020232954	651775479	1020232954.643551
2919	2.0467384	-1.0602213	0.33669991	1259.3442	8.9834212	2.2940016	0.092854782	-0.054711884	3.656867742538452	-3.1039602756500244	1013876837	59569955	1013876837.079471
3055	1.4405891	1.1337086	1.0269806	824.06523	8.9784691	1.6909391	0.40146838	0.01439359	3.921252727508545	2.922264814376831	1021752195	88258624	1021752195.069506
3075	0.83970333	-1.3784864	0.65290629	1864.2545	12.550481	2.8661398	-0.16349385	0.34291037	3.7200253009796143	2.1298727989196777	1003268818	89583516	1003268818.106899
3109	2.0331989	-0.5794582	2.1065088	2184.3047	10.430825	3.7021424	0.35120298	0.15258929	3.811443567276001	-2.9332425594329834	1024218494	985274911	1024218495.008182
3130	0.27696619	-1.2483463	0.66489272	2022.1762	9.1518623	1.7739624	-0.00042650468	0.084758121	0.11626380681991577	-2.0494377613067627	1028843756	798199058	1028843756.812521
3134	4.7567855	0.0030173318	0.93031947	629.92417	8.99641	2.4846053	-0.036676908	0.020655854	5.879497528076172	-2.1903645992279053	1021873689	115837336	1021873689.102708
3137	3.8800458	0.05895491	2.5211609	488.68167	9.1989767	2.7375476	-0.62249894	0.17959245	5.938863277435303	-1.5682909488677979	1031496802	724740982	1031496802.73047
3157	0.71533463	-0.104424	1.9293046	829.16122	13.923531	2.9039388	-0.023922099	-0.051250181	0.6080049276351929	2.5612449645996094	1025485933	191662550	1025485933.208646
3195	5.61631	-1.192346	0.82060627	347.52204	8.8599506	2.1261275	-0.36597482	-0.16801634	4.331369876861572	-1.4249279499053955	1007819152	683076978	1007819152.699653
3212	4.0733489	-0.97544501	0.30262086	2975.5478	14.064812	3.3098776	-0.36909827	-0.24146899	4.056436061859131	0.8795521855354309	1026222667	486086726	1026222667.501209
3277	1.1623263	1.2756182	0.4346082	1863.1308	11.247612	3.1509586	-0.10865944	-0.052178925	0.9739583134651184	0.8481214642524719	1023371649	218663454	1023371649.203568
3302	3.01072	-0.31134312	0.17750438	1376.149	10.182409	2.8238038	-0.095717171	0.16906954	0.4326443076133728	0.15649418532848358	1000397074	175069690	1000397074.169598
3306	3.5217256	-0.64126233	3.0652733	3193.4739	17.320565	3.5119989	0.14447542	-0.012439094	2.2838242053985596	1.8992013931274414	1004496732	282015562	1004496732.29725
3455	1.4251121	-0.97739775	3.0322219	2066.7789	17.397068	3.3936898	0.68081081	0.043014179	1.2705837488174438	-0.17334938049316406	1019169297	297305942	1019169297.306184
3497	4.3284344	0.89201628	2.2505998	389.40269	37.388537	1.3152811	0.52509032	-0.21927533	2.927377462387085	-1.551149606704712	1022648931	400682330	1022648931.38189
3539	4.3251478	0.1060144	0.96824526	1403.3547	4.3043804	2.6551196	0.72054404	-0.35010036	1.6765458583831787	-1.836632490158081	1025455631	341016889	1025455631.353534
3563	2.5758675	0.80562808	0.58462824	2276.4668	8.9625888	3.0726501	0.015647271	0.10014948	3.814241409301758	0.2736678123474121	1023236890	885177612	1023236890.866505
3576	3.0227801	-0.83566304	2.214727	948.39485	10.733723	1.8100641	0.08212735	-0.29684419	3.88906192779541	-0.28905385732650757	1025769989	756500959	1025769989.770909
3642	4.3943959	-0.3992469	1.5227005	671.45006	7.7751136	2.4891779	0.063866466	0.055841813	5.835168361663818	-0.5428993701934814	1014129863	758733869	1014129863.760698
3684	6.1466042	0.47271824	2.3230432	2680.4301	11.033773	3.4446814	0.22273284	-0.061279164	5.937948226928711	-0.12957574427127838	1017341569	714388132	1017341569.69609
3716	3.4976977	-1.2342835	1.2011829	1100.6681	18.312274	2.2045427	0.0036674266	0.011996168	3.975219964981079	-2.9212307929992676	1024591506	203830600	1024591506.209333
3742	4.2360939	1.1929278	2.6264546	1327.3435	8.2960191	2.4607848	0.49993307	-0.072431474	1.7604354619979858	3.1119086742401123	1027059139	814162374	1027059139.794362
3801	0.18086987	0.35758033	2.8041405	933.18677	4.2112923	2.4064014	-0.032685542	-0.020772868	1.147416591644287	2.9981236457824707	1020833991	463664293	1020833991.470987
3818	6.1107934	0.57836294	1.1247747	777.75087	5.1883797	1.7119905	-0.25789092	-0.0097490786	5.306894779205322	2.3819262981414795	1020521930	757972598	1020521930.740854
3827	5.5428622	0.17001681	0.61018577	1591.8746	10.299997	2.3582253	-0.088819441	-0.057724285	5.748407363891602	0.46286770701408386	1028366646	706227183	1028366646.696564
3833	5.0857235	0.84214521	1.3106746	1780.2142	9.5558185	1.7693091	0.28831034	0.18255387	1.6272521018981934	2.315365791320801	1009563316	121238470	1009563316.105074
3842	1.0293098	-0.7512407	2.8315518	2493.1478	12.777177	3.5394642	0.053163611	-0.012431951	1.2887787818908691	2.6754097938537598	1030923940	150662184	1030923940.172178
3893	2.2814822	-0.3605263	0.94531909	5274.9592	24.753225	4.4154616	0.06466885	0.0034858118	5.145143508911133	0.034493133425712585	1018871176	458400369	1018871176.469714
3912	3.7398277	-0.68809271	0.56276918	2109.6338	14.961843	2.5270522	0.38759699	0.1229353	0.8026177287101746	-1.111411452293396	1025523974	7256627	1025523974.019994
3913	3.6444136	1.29195	1.253861	689.03228	26.962792	3.1608365	0.56683482	0.03702661	3.983792781829834	0.12759414315223694	1030215201	493493438	1030215201.477584
3943	0.70857453	0.876189	2.4767367	917.28336	9.8931622	2.134024	-0.012341186	0.10532949	5.5131659507751465	-2.1768953800201416	1008751893	43009281	1008751893.028606
3976	5.1968776	-0.22540764	0.24563981	1209.8313	12.201117	3.2809108	0.053734843	0.49105787	2.15031361579895	1.3117954730987549	1020336029	304441333	1020336029.294664
3977	0.80027163	-1.0704619	0.53870698	2730.5152	11.111317	3.7032575	-0.31295375	0.30078621	5.583516597747803	-2.9230315685272217	1004298238	885798454	1004298238.906669
3985	0.75930473	0.35246945	1.5660027	518.25273	3.6404714	2.6766405	0.017251021	0.039732798	5.887424468994141	-0.7018408179283142	1012263781	432099700	1012263781.413414
3987	0.81240353	0.14842276	2.4613662	1012.25	3.7455352	2.9498218	0.36360726	0.0018995998	5.820940017700195	0.4601314663887024	1007695952	246473789	1007695952.233348
4024	2.410344	-0.27991358	1.9646261	1606.5165	23.515677	3.4266486	0.11857447	0.84418787	1.3594945669174194	-1.6689015626907349	1013292273	401213288	1013292273.416393
4062	2.4847838	-0.94646462	0.59096192	1933.7312	23.497469	4.0152856	-0.16518903	-0.0022872808	3.087965250015259	0.3123074769973755	1008194272	898139954	1008194272.916616
4076	5.2950409	-0.6286512	1.0179944	1157.0949	4.0561859	1.4613498	-0.43298	-0.16309517	0.5442553758621216	1.665323257446289	1003413089	342105150	1003413089.364204
4077	5.443189	1.0010533	2.8434574	492.65354	7.414375	1.3792998	-0.85036683	0.11372529	1.0337213277816772	-2.83064341545105	1002007473	610499501	1002007473.594055
4095	2.8340405	0.66615634	0.9517977	1617.1014	12.477432	2.8438302	0.80708291	-0.0053481814	4.104126453399658	2.1025075912475586	1005675562	666605473	1005675562.662707
4164	2.4333312	-0.029113558	2.7169887	7195.9345	16.804526	4.4705566	-0.010836687	0.096437875	5.82665491104126	-0.3006976544857025	1019444915	214206100	1019444915.210006
4238	2.6804366	0.33863359	2.6046172	1643.0693	14.303083	2.7368078	0.57275202	-0.0096397997	5.901566982269287	2.7977776527404785	1011437924	275653362	1011437924.260194
4239	5.1199821	-0.09466664	2.8385482	1448.5778	13.147313	3.197302	-0.21685934	-0.25679665	3.625605344772339	2.412522554397583	1003784257	61782598	1003784257.057384
